"Time","CPU_Usage","RAM_UsageMB"
"2025-03-27 15:49:54","0,69","790,96"
"2025-03-27 15:49:55","0,73","790,96"
"2025-03-27 15:49:56","3,66","791,1"
"2025-03-27 15:49:57","4,36","791,36"
"2025-03-27 15:49:57","1,36","791,46"
"2025-03-27 15:49:58","1,32","791,52"
"2025-03-27 15:49:59","2,01","791,52"
"2025-03-27 15:50:00","1,32","791,59"
"2025-03-27 15:50:00","1,32","791,68"
"2025-03-27 15:50:01","0,66","791,7"
"2025-03-27 15:50:02","1,99","791,74"
"2025-03-27 15:50:03","0,66","792,02"
"2025-03-27 15:50:04","3,29","792,21"
"2025-03-27 15:50:04","1,33","792,52"
"2025-03-27 15:50:05","1,25","792,6"
"2025-03-27 15:50:06","0,6","792,65"
"2025-03-27 15:50:07","2,43","792,65"
"2025-03-27 15:50:08","3,6","792,67"
"2025-03-27 15:50:09","1,77","792,67"
"2025-03-27 15:50:10","0,6","792,74"
"2025-03-27 15:50:10","1,81","792,74"
"2025-03-27 15:50:11","1,19","792,74"
"2025-03-27 15:50:12","0,6","792,8"
"2025-03-27 15:50:13","1,2","792,86"
"2025-03-27 15:50:14","0","792,88"
"2025-03-27 15:50:15","1,09","792,91"
"2025-03-27 15:50:16","3,82","792,91"
"2025-03-27 15:50:17","0,55","792,96"
"2025-03-27 15:50:18","1,64","792,96"
"2025-03-27 15:50:19","0,54","792,96"
"2025-03-27 15:50:20","0,55","792,96"
"2025-03-27 15:50:21","0,55","792,96"
"2025-03-27 15:50:22","3,31","792,98"
"2025-03-27 15:50:23","1,64","793,05"
"2025-03-27 15:50:24","2,54","793,12"
"2025-03-27 15:50:25","1,99","793,13"
"2025-03-27 15:50:26","0,99","793,16"
"2025-03-27 15:50:27","2,47","793,17"
"2025-03-27 15:50:28","1","793,76"
"2025-03-27 15:50:29","3,01","794,66"
"2025-03-27 15:50:30","1","794,77"
"2025-03-27 15:50:31","1,49","794,79"
"2025-03-27 15:50:32","0","794,79"
"2025-03-27 15:50:33","1,98","794,86"
"2025-03-27 15:50:34","0","794,89"
"2025-03-27 15:50:35","2,24","794,96"
"2025-03-27 15:50:36","1,35","794,99"
"2025-03-27 15:50:38","1,36","795,01"
"2025-03-27 15:50:39","0,89","795,04"
"2025-03-27 15:50:40","0,45","795,05"
"2025-03-27 15:50:41","1,37","795,11"
"2025-03-27 15:50:42","0,45","795,12"
"2025-03-27 15:50:43","1,8","795,14"
"2025-03-27 15:50:45","1,79","795,16"
"2025-03-27 15:50:46","0,41","795,17"
"2025-03-27 15:50:47","2,05","795,17"
"2025-03-27 15:50:48","2,02","795,18"
"2025-03-27 15:50:50","1,25","795,25"
"2025-03-27 15:50:51","0,82","795,25"
"Average","1,49","793,32"
